feature,coef,p_value
const,-57.67410875221799,3.512887592647953e-15
log_off_start,-9.525372958889031,3.025910043840499e-25
log_dep_start,5.530370173346947,6.399699253541132e-17
st_AL,-0.8486666145583754,0.8181886254978005
st_AR,3.084620304857862,0.3970456162476804
st_AZ,-9.198292903769921,0.06457050111894073
st_CA,-8.988669752012743,0.01809728316907712
st_CO,0.39024670288359875,0.9162998345946411
st_DC,-8.952929618841729,0.5517638587314938
st_DE,-7.296104829495908,0.4246073074608282
st_FL,-9.293141682288919,0.0121335435475131
st_GA,-6.088726129398336,0.07448384021707041
st_HI,-13.233587360159138,0.09913872785557475
st_IA,2.6840129475279135,0.448071739575272
st_ID,-11.179553797873403,0.004855222372797537
st_IL,-1.5698491116148046,0.6575748237302219
st_IN,-9.293568342920052,0.00925139136380526
st_KS,3.8321650737633295,0.27629889796331547
st_KY,-0.02575167750069207,0.9940988709506655
st_LA,-1.8889162056024484,0.6102217549715216
st_MA,-0.2916745426296943,0.9546343970143734
st_MD,-12.539381338526624,0.004625365235436109
st_ME,-5.886716099783083,0.22894696980607326
st_MI,-16.61283276434613,4.60117282528586e-06
st_MN,2.3332778433280956,0.5145180019772294
st_MO,0.7094973671205576,0.8394445032044335
st_MS,1.8199088943858424,0.6132326632036322
st_MT,-2.396362490735136,0.5251732241264322
st_NC,-15.616769890684486,1.085903854661772e-05
st_ND,3.690174058940028,0.3319359291349371
st_NE,9.268811838266082,0.00933331855596449
st_NH,-0.14644807573071028,0.9793588685022423
st_NJ,-12.005684607509904,0.009255068402815876
st_NM,-5.99195639288336,0.14418532975411297
st_NV,-7.731272779184021,0.12678838894291367
st_NY,-7.275637979506044,0.05253425222406799
st_OH,-4.216465077028207,0.2419368780336066
st_OK,5.714664400208165,0.11441792375330498
st_OR,-13.925994886607013,0.0005817360170986844
st_PA,-9.033511622790838,0.015450030775673942
st_RI,5.30109698096914,0.4689036271392628
st_SC,-6.675068884712299,0.08570398764431934
st_SD,0.21857904824625285,0.9528172666365673
st_TN,-1.3613378659986433,0.7016247563545289
st_TX,4.204952775953233,0.20772374241060082
st_UT,-0.8196658296730432,0.8465222612853135
st_VA,-14.409709242327427,3.1253518362054954e-05
st_VT,1.5756722734665836,0.7561069821780758
st_WA,-7.371411290381408,0.06507223538302027
st_WI,-9.811397356835853,0.0076644774966166266
st_WV,-1.9599385498378838,0.6029797793896858
st_WY,4.000427195016476,0.3665247008916033
